"Year","Trade.Flow","Commodity.Code","Netweight..kg."
"2011","Re-exports","807",12489
"2011","Re-imports","807",0
"2012","Imports","807",29197471
"2012","Exports","807",19618350
"2012","Re-exports","807",230122
"2012","Re-imports","807",0
"2013","Imports","807",27317957
"2013","Exports","807",18737203
"2013","Re-exports","807",44292
"2013","Re-imports","807",12541
"2014","Imports","807",29043712
"2014","Exports","807",21177426
"2014","Re-exports","807",26248
"2014","Re-imports","807",0
"2015","Imports","807",42693227
"2015","Exports","807",19421572
"2015","Re-exports","807",0
"2015","Re-imports","807",0
"2016","Imports","807",40036843
"2016","Exports","807",20917490
"2016","Re-exports","807",0
"2016","Re-imports","807",0
"2017","Imports","807",43611948
"2017","Exports","807",143611206
"2017","Re-exports","807",20600
"2017","Re-imports","807",0
"2018","Imports","807",58633734
"2018","Exports","807",13127230
"2018","Re-exports","807",0
"2018","Re-imports","807",0
"2019","Imports","807",59516762
"2019","Exports","807",149150237
"2019","Re-exports","807",70
"2019","Re-imports","807",41170
"2020","Imports","807",31065757
"2020","Exports","807",32182577
"2020","Re-exports","807",61649
"2020","Re-imports","807",21950
"2010","Imports","808",2139638
"2010","Exports","808",2221200795
"2010","Re-exports","808",1913948
"2010","Re-imports","808",0
"2011","Imports","808",2235432
"2011","Exports","808",2301984206
"2011","Re-exports","808",2237107
"2011","Re-imports","808",0
"2012","Imports","808",816205
"2012","Exports","808",2648038248
"2012","Re-exports","808",1568341
"2012","Re-imports","808",0
"2013","Imports","808",1656254
"2013","Exports","808",2637970599
"2013","Re-exports","808",1030096
"2013","Re-imports","808",509604
"2014","Imports","808",1325012
"2014","Exports","808",2066248739
"2014","Re-exports","808",195905
"2014","Re-imports","808",4660
"2015","Imports","808",2655307
"2015","Exports","808",1179849934
"2015","Re-exports","808",0
"2015","Re-imports","808",0
"2016","Imports","808",1171742
"2016","Exports","808",878218090
"2016","Re-exports","808",22344
"2016","Re-imports","808",0
"2017","Imports","808",3902326
"2017","Exports","808",802817510.5
"2017","Re-exports","808",0
"2017","Re-imports","808",20000
"2018","Imports","808",1585433
"2018","Exports","808",815869340
"2018","Re-exports","808",513229
"2018","Re-imports","808",0
"2019","Imports","808",2424653
"2019","Exports","808",777495674
"2019","Re-exports","808",13910
"2019","Re-imports","808",40000
"2020","Imports","808",786464
"2020","Exports","808",572797664
"2020","Re-exports","808",984580
"2020","Re-imports","808",0
"2010","Imports","809",410851
"2010","Exports","809",500325724
"2010","Re-exports","809",10818634
"2010","Re-imports","809",0
"2011","Imports","809",1020752
"2011","Exports","809",631183105
"2011","Re-exports","809",10817354
"2011","Re-imports","809",0
"2012","Imports","809",1014766
"2012","Exports","809",676802804
"2012","Re-exports","809",14812648
"2012","Re-imports","809",0
"2013","Imports","809",806570
"2013","Exports","809",618003909
"2013","Re-exports","809",9820791
"2013","Re-imports","809",5865
"2014","Imports","809",2488432
"2014","Exports","809",561589347.5
"2014","Re-exports","809",7417945.5
"2014","Re-imports","809",12520
"2015","Imports","809",581915
"2015","Exports","809",373564737
"2015","Re-exports","809",2271
"2015","Re-imports","809",0
"2016","Imports","809",650709
"2016","Exports","809",273037396
"2016","Re-exports","809",0
"2016","Re-imports","809",0
"2017","Imports","809",686837
"2017","Exports","809",295817262
"2017","Re-exports","809",40074
"2017","Re-imports","809",0
"2018","Imports","809",1348034
"2018","Exports","809",311579643
"2018","Re-exports","809",733920
"2018","Re-imports","809",18000
"2019","Imports","809",922921
"2019","Exports","809",370232181
"2019","Re-exports","809",20880
"2019","Re-imports","809",61278
"2020","Imports","809",356983
"2020","Exports","809",235506312
"2020","Re-exports","809",156025
"2020","Re-imports","809",19720
"2010","Imports","810",747555
"2010","Exports","810",237915604
"2010","Re-exports","810",10321917
"2010","Re-imports","810",0
"2011","Imports","810",1467945
"2011","Exports","810",260688364
"2011","Re-exports","810",6701351
"2011","Re-imports","810",0
