"NotebookName","Diag","Matrix","CPU","Memory","Hz","RAM","Ranking"
"ASUS VivoBook S15 S533",15.6,"IPS","Intel Core i3 / Intel Core i5 / Intel Core i7",NA,"60","4...16",4.7
"ASUS ROG Strix G15 G512",15.6,"IPS","Intel Core i5 / Intel Core i7",NA,"144","16",4.5
"ASUS ROG Strix G17",17.3,"IPS","AMD A4 / AMD A6 / AMD A9 / AMD Athlon Gold / AMD Athlon Silver",NA,"60","4...8",4.2
"MSI GP76 Leopard 10",17.3,"IPS","Intel Core i7 / Intel Core i9",NA,"240","16...32",5
"Lenovo Yoga 530-14",14,"IPS / TN","AMD Ryzen 3 / AMD Ryzen 5 / AMD Ryzen 7 / Intel Core i3 / Intel","128...512",NA,"4...16",4.5
"ASUS PRO P3540",15.6,"IPS / TN","Intel Core i5 / Intel Core i7",NA,"60","8...16",4.7
"Xiaomi Redmi G Gaming",16.1,"IPS","Intel Core i3 / Intel Core i5 / Intel Core i7",NA,"60","4...16",4.8
"HP 255 G7",15.6,"SVA / TN","Intel Core i3 / Intel Core i5 / Intel Core i7",NA,"60","4...8",4.4
"MSI GE66 Raider",15.6,"IPS","Intel Core i7",NA,"240","16",4.2
"Microsoft Surface Laptop 3 13.5",13.5,NA,"Intel Core i5","500",NA,"4",4.6
"ASUS VivoBook X543",15.6,"IPS","Intel Pentium Silver",NA,"60","4...8",4.3
"ASUS ZenBook 14 UX434",14,"IPS / TN","Intel Core i5 / Intel Core i7",NA,"60","8...16",4.7
"Lenovo ThinkBook 15",15.6,"IPS / WVA","Intel Core i7",NA,"144","16",4.5
"DELL INSPIRON 3793",17.3,"IPS","AMD A4 / AMD A6 / AMD A9 / AMD E1 / AMD E2 / Intel Celeron",NA,"60","2...8",4.3
"ASUS TUF Dash FX516",15.6,"IPS / SVA","AMD Ryzen 7",NA,"60","8...16",3.1
"HP 15-db1",15.6,"LTPS","AMD Athlon / AMD Athlon Gold / AMD Athlon Silver / AMD Ryzen","128...1024",NA,"4...16",4.5
"HUAWEI MateBook X Pro 2020",13.9,"IPS","Intel Core i7",NA,"144","16",4.7
"ASUS E410",14,"IPS","AMD Ryzen 7 / AMD Ryzen 9",NA,"120...240","8...32",4.7
"MSI GF63 Thin 9RCX",15.6,"IPS","Intel Core i7 / Intel Core i9",NA,"240...300","16...32",5
"MSI Creator 17M A10SD",17.3,"IPS / SVA","Intel Core i5 / Intel Core i7",NA,"60","8",4.6
"HP 15s-eq1",15.6,"TN","Intel Core i5 / Intel Core i7","256...512",NA,"8...16",4.2
"ASUS VivoBook X540",15.6,"TN","Intel Celeron / Intel Core i3 / Intel Core i5 / Intel Core",NA,"60","4...16",4.4
"HP 620",15.6,"IPS","AMD Ryzen 3 / AMD Ryzen 5 / AMD Ryzen 7 / Intel Core i3 / Intel","128...512",NA,"4...16",4.8
"Getac S400",14,NA,"Intel Core i5","500",NA,"4",4.6
"Acer Aspire 7 A715-41G",15.6,"IPS","Intel Core i7 / Intel Core i9",NA,"60","16...64",4.8
"ASUS VivoBook 17 D712",17.3,"IPS","AMD Ryzen 5 / AMD Ryzen 7 / AMD Ryzen 9",NA,"60...120","8...32",4.5
"MSI GP65 Leopard 10SFK",15.6,"IPS","Intel Celeron / Intel Pentium / Intel Pentium Silver",NA,"60","4",4.9
"ASUS ROG Zephyrus G GA502",15.6,"IPS","Intel Core i7 / Intel Core i9",NA,"60","16...64",4.5
"HUAWEI MateBook X",13,"IPS","Intel Core i3 / Intel Core i5 / Intel Core i7","128...1512",NA,"4...16",4.7
"MSI GS66 Stealth",15.6,"IPS","Intel Core i3 / Intel Core i5",NA,"60","8",4.9
